estacion,anio,contaminante,promedio_anual
Pudahuel,2015,PM2.5,35
Las Condes,2015,PM2.5,22
Independencia,2015,PM2.5,28
Pudahuel,2020,PM2.5,30
Las Condes,2020,PM2.5,18
Independencia,2020,PM2.5,25
Pudahuel,2025,PM2.5,27
Las Condes,2025,PM2.5,15
Independencia,2025,PM2.5,23
